iR33,dir,file,fileDate,targ,zaTarg,proj,year,author1,Source,Reaction,dataType,x4,Emin,Emax,Egamma,Units,Theta,nData
52,al7d,al7dp2b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"Recommended - A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,p2+3)28Al","NRA","",1300.0,2300.0,"",mb,150,51
53,al7d,al7dp2c,2008-05-19T00:00:00,27Al,13027,d,1966,M.Corti,"M.Corti et al. Nuclear Physics v.77 (1966) 625","27Al(d,p2+3)28Al","NRA","F0966003",1501.2,2315.8,"",mb,173,49
54,al7d,al7dp3a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p2+3)28Al","NRA","D0430002",1000.0,2000.0,"",mb,150,10
55,al7d,al7dp3b,2010-04-21T00:00:00,27Al,13027,d,1979,A.Osman,"A.Osman et al. Annalen der Physik v.36 (1979) 64","27Al(d,p2+3)28Al","NRA","F1080012",1692.6,3060.3,"",mb,90,71
56,al7d,al7dp4b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"Recommended - A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,p4)28Al","NRA","",1300.0,2300.0,"",mb,150,51
57,al7d,al7dp4c,2010-04-01T00:00:00,27Al,13027,d,1979,A.Osman,"A.Osman et al. Annalen der Physik v.36 (1979) 64","27Al(d,p4)28Al","NRA","F1080010",1796.5,3047.4,"",mb,90,64
58,al7d,al7dp5a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p5+6)28Al","NRA","D0430002",1250.0,2000.0,"",mb,150,8
59,al7d,al7dp5b,2010-09-08T00:00:00,27Al,13027,d,2008,A.F.Gurbich,"Recommended - A.F.Gurbich, S.L.Molodtsov, Nucl. Instr. & Meth. B266 (2008) 3535","27Al(d,p5+6)28Al","NRA","",1300.0,2300.0,"",mb,150,51
60,al7d,al7dp5c,2010-04-01T00:00:00,27Al,13027,d,1979,A.Osman,"A.Osman et al. Annalen der Physik v.36 (1979) 64","27Al(d,p5)28Al","NRA","F1080010",1788.8,3052.8,"",mb,90,65
61,al7d,al7dp6a,2008-05-20T00:00:00,27Al,13027,d,1966,M.Corti,"M.Corti et al. Nuclear Physics v.77 (1966) 625","27Al(d,p6)28Al","NRA","F0966004",1501.4,2322.0999,"",mb,173,53
62,al7d,al7dp9a,2010-01-16T00:00:00,27Al,13027,d,2008,S.Pellegrino,"S. Pellegrino et al., Nucl. Instr. and Meth. B 266 (2008) 2268","27Al(d,p9)28Al","NRA","D0430002",1000.0,2000.0,"",mb,150,10
63,al7d,al7dpga,2011-07-07T00:00:00,27Al,13027,d,2000,Z.Elekes,"Z.Elekes et al. Nucl. Instr. & Meth. B168 (2000) 305","27Al(d,pg3-0)28Al","PIGE,NRA","O0875025",1400.0,3400.0,"1014",yield,135,18
64,al7d,al7dpgb,2011-07-07T00:00:00,27Al,13027,d,2000,Z.Elekes,"Z.Elekes et al. Nucl. Instr. & Meth. B168 (2000) 305","27Al(d,pg9-0)28Al","PIGE,NRA","O0875025",1400.0,3400.0,"2272",yield,135,18
65,al7d,al7dpgc,2011-07-07T00:00:00,27Al,13027,d,2000,Z.Elekes,"Z.Elekes et al. Nucl. Instr. & Meth. B168 (2000) 305","27Al(d,pg10-0)28Al","PIGE,NRA","",1400.0,3400.0,"2839",yield,135,18
66,al7i,al7ii0$1,2011-08-04T10:31:00,27Al,13027,6Li,2003,M.Mayer,"M.Mayer+(2003), Jour. Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.207, p.263","27Al(6Li,6Li0)27Al","EBS","A0521004",1585.0,5794.0,"",rr,165,28
67,al7i,al7ii0a,2011-08-08T10:02:00,27Al,13027,6Li,1999,A.Nurmela,"A. Nurmela et al. Nucl. Instr. Meth. B155 (1999) 211","27Al(6Li,6Li0)27Al","EBS","",4000.0,8000.0,"",mb,140,34
68,al7i,al7ii0b,2011-08-08T10:03:00,27Al,13027,6Li,1999,A.Nurmela,"A. Nurmela et al. Nucl. Instr. Meth. B155 (1999) 211","27Al(6Li,6Li0)27Al","EBS","",4000.0,8000.0,"",mb,170,34
69,al7l,al7ll0$1,2011-01-24T00:00:00,27Al,13027,7Li,2010,D.Abriola,"D.Abriola+(2010), Jour. Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.268, p.1793","27Al(7Li,7Li0)27Al","EBS","D0609002",6870.0,10900.0,"",rr,170,15
70,al7l,al7ll0$2,2011-08-04T10:33:00,27Al,13027,7Li,2003,M.Mayer,"M.Mayer+(2003), Jour. Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.207, p.263","27Al(7Li,7Li0)27Al","EBS","A0521005",2475.0,5987.0,"",rr,165,19
71,al7l,al7ll0a,2006-06-23T00:00:00,27Al,13027,7Li,1999,A.Nurmela,"A. Nurmela et al. Nucl. Instr. Meth. B155 (1999) 211","27Al(7Li,7Li0)27Al","EBS","",4000.0,7900.0,"",mb,140,38
